User Name,LOC Total
zkry,4
u5surf,10
jelito,4
doodlesbykumbi,74
cristaloleg,21
clausti,2
cflewis,4
budougumi0617,2
benhoyt,2
a8m,36
ktr0731,4
ijt,21
eliben,140
shantuo,2159
vangent,4841
zombiezen,30402
